question_id,question_text,option_a,option_b,option_c,option_d,correct_answer,skill_tag,explanation,translation,vocabulary
R002,"This meeting should be concluded ------- a promise not to reveal what was debated here.","around","above","with","until","C","文法-介系詞","這題要求選擇合適的介系詞。與會人士「（以）同意保密」討論內容這件事來結束會議，因此具有「以、用」意思的 (C) with 最為合適。","會議應該在與會人士同意對討論內容保密後結束。","conclude 結束; reveal 曝露/洩露; debate 討論"
R003,"------- located at the highway exit, the new gas station will be opened by BMC Petroleum.","Widely","Conveniently","Correctly","Greatly","B","單字-副詞","這題要選擇合適的副詞。加油站蓋在高速公路出口，是便利的位置，因此選擇有便利意思的 (B) Conveniently 最合適。(A) 寬廣地；(C) 準確地；(D) 很大地。","BMC 石油公司計劃在高速公路出口設置便利的新加油站。","exit 出口; gas station 加油站; petroleum 石油"
R004,"Before ------- with Ms. Goyal's public relations consultant, Mr. Kim wants to have a better understanding of the details of the agenda.","consults","to consult","consulting","consulted","C","文法-分詞構句與動名詞","連接詞 Before 後面沒有主詞，顯然此子句主詞和後面主要子句的主詞同為 Mr. Kim 因而省略。因此空格中需要填入分詞構句，而 consult with「和某人諮商」是主動進行的動作，因此選現在分詞 (C) consulting。","在和高堯小姐的公關顧問徵求意見前，金先生想要更了解議程表的細節。","consult with 向...徵求意見; public relations 公關活動; have a better understanding of 想要更了解...; agenda 議程表"
R005,"The area licenser has ordered that until a written ------- has been approved by the building owner, no maintenance work can begin.","judgment","estimate","guess","suggestion","B","單字-名詞","與空格前的 written 符合的單字為 (B) estimate，estimate 當名詞指「估價單」。written estimate 是「書面估價單」的意思，在多益中常出現。其他選項：(A) 判斷，(C) 推測，(D) 提議。","該地區的授權人指示：在建築物所有者的書面估價單獲得批准前，不得進行任何維修作業。","licenser 授權者; written estimate 書面估價單; building owner 建築物所有者; written consent 書面同意書; maintenance work 維修作業"
R006,"The new board of directors is soliciting ------- for human resources manager, treasurer and vice president.","to have nominated","nominating","nominations","nominate","C","文法-詞性變化","空格前的 solicit 為及物動詞，需要有名詞當作其受詞，不可接不定詞或動詞原形。選項中名詞 (C) nominations 是最合適的選擇。","新董事會徵求人事部門主管、財務主管與副總裁的提名人選。","board of directors 董事會; solicit 要求/徵求; nomination 提名/推薦; treasurer 財務主管; vice-president 副總裁"
R007,"After Quantium made known its plans for a hostile takeover bid of AXT, the value of AXT stocks went up -------.","expressively","accidentally","eagerly","dramatically","D","單字-副詞","與股價上揚 (went up) 最搭配的副詞為 (D) dramatically「顯著地、大幅地」。(A) 表情豐富地；(B) 偶然、意外地；(C) 熱切地。","自從冠庭公司發表了對敵對公司 AXT 的競價收購計畫後，AXT 公司股價大幅上揚。","make known 發表; hostile takeover bid 敵對企業競價收購; value of stock 股價"
R008,"The strategy workshop will open at 11 A.M. on Monday ------- will be followed by a meeting at 2:30, after which there will be a late lunch at 3:30.","with","either","and","such","C","文法-連接詞","由於空格前後的句子都是未來式「will+原形動詞」的型態，所以空格中使用對等連接詞 (C) and 較合適。選項 (D) such 可作為形容詞、限定詞及代名詞使用，(B) either 則作為形容詞、代名詞和副詞，在這裡都不適合。","策略工作坊將於星期一上午 11 點開始，接著下午 2 點 30 分有會議，午餐將延遲至 3 點 30 分。","be followed by 接下來是..."
R009,"We have to keep all materials, printer components, desks and other ------- supplies in the basement warehouse.","related","achievable","interested","alike","A","單字-形容詞","空格前列舉各種事務用品，最適合的字彙為 (A) related「相關的」。(C) interested 是修飾人的情緒形容詞。(D) alike「相似的」需放在名詞後形容。(B) achievable 為可完成的、可達到的。","我們要把所有的材料、印表機零件、辦公桌，以及相關備用品都放到地下倉庫。","material 材料; component 零件; supplies 供給品（恆用複數）; basement warehouse 地下倉庫"
R010,"The head of the marketing department not only develops sales strategies, but is expected to take charge of ------- our services to prospective customers and to secure deals.","promote","promotes","promoted","promoting","D","文法-動名詞","介系詞 of 之後接動詞需使用動名詞，因此 (D) 為正確選項。(A)、(B) 均為一般動詞，(C) promoted 為過去分詞，因此不能填入空格。","行銷部門的主管除了研發銷售策略外，還要負責對潛在客戶宣傳相關服務並爭取訂單。","take charge of 對...負責; prospective customer 潛在客戶; secure 獲得、爭取; deal 交易"
R011,"Among our nation's trade partners, our new currency policies have ------- to stronger economies.","contributions","contributed","contributing","contribute","B","文法-動詞時態","動詞片語 contribute to「對...有貢獻/導致」為固定用法，to 為介系詞，後方需接名詞。由於空格前方有 have，因此可判斷本句時態為現在完成式「have + p.p.」，因此適合填入的動詞形式為 (B) contributed。","新的貨幣政策將使國內貿易夥伴的經濟體制更強勁。","currency policy 貨幣政策; contribute to 對...有貢獻/導致"
R012,"The nation suffered a depression with inflation ------- rose steadily for over five years during the 1990s.","they","that","when","what","B","文法-關係代名詞","主要句子動詞為 suffered，inflation 接著又出現動詞過去式 rose，可以得知空格為主格關係代名詞。所以正確解答為 (B) that。(C) when 是關係副詞，後面要接完整的句子。(D) what 已包括先行詞在內，與本句的先行詞 inflation 重複，故不選。","1990 年代該國連續 5 年多的時間通膨穩定上升，導致經濟不景氣。","depression 不景氣; inflation 物價攀升、通貨膨脹; steadily 穩定地"
R013,"Without having to worry about extensive paperwork and visits to the bank, the company's workers have the option of automatically transferring 5% of their monthly paychecks into special ------- accounts.","saved","save","safely","savings","D","單字-名詞","句子非常長，但只要看空格的前後就可以快速作答。儲蓄帳戶 savings account 是多益經常出現的詞組，注意 savings 作「儲蓄」時需用複數名詞形式。正確解答為 (D)。","該公司職員不用擔心要做許多書面作業和親自跑銀行，就可以將月薪的 5% 轉帳到特別的儲蓄帳戶內。","extensive 許多的、大量的; paperwork 書面作業; have an option of... 有...的選擇; automatically 自動地; transfer 轉帳; monthly paycheck 月薪"
R014,"The personnel officers prepared a profile of each candidate which not only contained an analysis of their personality, but also listed a(n) ------- of their educational background and on-site experience.","description","mistake","information","attention","A","單字-名詞","空格之後有求職者的學歷和工作經驗，因此帶有「說明、敘述」的名詞在前後文中較為合適，正確解答為 (A)。選項 (C) information 為不可數名詞，空格前有不定冠詞 a(n)，因此不能使用。","人事部專員不但準備了各求職者的性格分析資料，還列出他們的學歷及工作經驗相關說明的清單。","personnel 人事部; officer 專員; profile 個人資料; candidate 求職者; personality 個性; educational background 學歷; on-site experience 現場經驗"
R015,"This year's summer barbecue was the most ------- of all the fundraisers our charity has conducted -- with 24 groups participating over the whole weekend.","successful","delighted","wealthy","overall","A","單字-形容詞","(A) successful 較符合上下文。(B) delighted「開心的」是表達情感的情緒形容詞，多用來修飾人。(C) wealthy 富有的；(D) overall 全部、整體的。","在我們的慈善組織曾經舉辦過的募款活動中，今年的夏季烤肉派對在周末期間有 24 個團體參加，是有史以來最成功的一次。","fundraiser 募款活動; charity 慈善組織; conduct 執行; participate 參加"
R016,"------- the layout of the streets and parks was ideal for foot traffic, the board of directors selected the city as the place to hold their annual street festival.","Because","Unless","More than","Following","A","文法-連接詞","空格後有「主詞+動詞」結構，空格內應填入連接詞，因此 (C)、(D) 被排除。(B) Unless「除非」的意思和整句意思不符。由整句因果關係來看，(A) Because 最合適。","因為公園和街道的規劃相當適合步行，董事會選定該都市作為年度街道慶典的場所。","layout 規劃、設計; be ideal for 對於...很理想; foot traffic 步行; hold 舉辦; annual 每年的"
R017,"A student who comes from a family whose wages are at the poverty rate or below ------- for special discounts on tuition fees, textbooks, and housing at my college.","supplies","equips","arranges","qualifies","D","單字-動詞","本句主詞很長，空格前方全部都是主詞，空格中應放入本句動詞，可以與介系詞 for 搭配、又符合前後文意思的動詞 (D) qualifies「符合資格」為合適的答案。(A) 提供；(B) 具備；(C) 安排，這三個選項都不正確。","我們學校對於家庭收入接近貧困或低於一般水平的學生，在學費、教材費、住宿費等都有提供特別優惠。","poverty rate 貧困水準; tuition fee 學費; housing 住宿; qualify for 符合...的資格"
R018,"When new products are released, the old products tend to stay on the ------- for periods of two to five weeks.","place","sale","advertisement","market","D","單字-名詞","空格中填入名詞 (D) stay on the market (留在市場上) 是多益經常出現的詞組，請當做一句俗語記熟。(A) 場所、地區、據點；(B) 銷售；(C) 廣告。","新產品上市時，之前的產品會在市場上滯留2到5週。","stay on 繼續停留、繼續處於某種狀態; for a period of 在...期間"
R019,"The special leasing rate is available ------- to workers of HJG Vehicle and their immediate family members.","exclusionary","exclusiveness","exclusion","exclusively","D","文法-詞性變化","「物 + be available to + 人」指某物是可以被某人使用的，空格放在形容詞 available 之後修飾，可修飾形容詞的詞類為副詞，因此選 (D) exclusively「獨家地、專門地」。(A) exclusionary 和 (B) exclusiveness 在多益很少是正確解答。(C) 除外、排除。","HJG 汽車公司的職員和直系親屬可以專享特別租賃優惠。","leasing rate 租賃費用; immediate family 直系親屬; exclusively 專門地、獨家地"
R020,"An editor always looks for errors and irregularities ------- an author's work.","within","while","where","wherever","A","文法-介系詞","within 意味「(場所、時間、距離、範圍、界線) 以內」，從空格的前後文可判斷這裡的語意以「作家的著作中」較為自然，因此選 (A)。","編輯總是要從作家的著作中去找出錯誤和不規律處。","irregularity 不規則、異常; author 作家、作者"
